Name	meiotic_1_quant	meiotic_2_quant	veg_cells_1_quant	veg_cells_2_quant
YJL217W	0.0	0.0	0.0	0.0
YHR127W	13.0453	14.5178	15.9646	13.5783
YJR011C	31.9172	31.8285	16.6946	8.57
YHR128W	68.1849	72.4284	89.5504	113.335
YCL002C	40.4362	44.5627	36.2999	20.5503
YHR130C	75.1156	41.0509	11.1812	11.8136
YML058W	471.959	399.461	214.622	370.887
YJL059W	14.1832	12.4609	4.38555	3.78629
YHL028W	1.92686	1.57396	0.260245	0.233326
YHR132C	58.102	67.8846	21.0432	20.8904
YOR099W	74.5944	78.2786	33.9012	31.8401
YHR135C	21.9109	21.0886	12.175	19.6265
YML081C-A	3952.5	3376.54	1608.26	1260.94
YHR137W	23.342	19.661	11.28	7.14217
YHR143W	2.85731	2.4392	26.0646	29.6504
YOL140W	46.8362	52.7732	29.2616	13.7623
YHR144C	10.4108	11.9716	18.9066	12.4085
YHR101C	21.7138	23.3273	9.88246	7.18626
YDR087C	71.4254	88.0271	115.944	60.041
YHR147C	27.5321	30.4274	53.7937	27.6836
YIL020C	16.2168	15.3013	26.8635	20.477
YDR085C	25.6841	22.817	0.957729	0.504037
YHR182W	4.11969	4.11671	1.75604	1.42701
YDR116C	34.0695	32.3165	19.2719	16.3806
YDR049W	19.4876	18.5529	8.92631	5.59593
YBR009C	2112.45	2138.74	3924.74	2112.33
YJL146W	17.2366	17.3491	8.01556	5.36167
YNL264C	18.7044	19.9524	13.1763	13.7696
YLR300W	155.841	175.745	68.8965	64.2183
YJL037W	9.14519	11.7303	0.71128	0.239488
YDR161W	47.3774	56.2045	49.4614	28.9536
YHR054C	9.78319	4.11055	3.55902	4.27312
YHR149C	8.245	8.21323	10.1233	6.54984
YHR214W	2.51651	0.0	0.0	0.0
YJR067C	47.635	47.7679	39.581	33.0286
YHR151C	12.051	12.5763	4.27029	3.35955
YHR153C	16.6846	12.2297	4.36792	2.46012
YHR154W	4.80212	3.58397	2.42978	2.81248
YOR096W	956.45	945.318	2962.89	2191.82
YHR206W	16.3656	17.0129	6.31919	6.17668
YHR156C	32.8442	36.3204	11.3498	5.83728
YMR093W	44.021	41.0342	23.6203	24.0694
YGR140W	6.81683	5.96547	3.01372	2.34195
YBL023C	14.5836	14.225	5.58959	4.67387
YGL051W	2.67766	4.14049	5.38166	3.43467
YJL014W	51.5529	58.7728	54.7026	33.3905
YHR160C	5.62316	5.72447	0.242089	0.202578
YHR161C	10.9417	13.686	4.58933	3.61556
YHR162W	1377.78	1403.21	1446.55	678.865
YHR166C	11.6092	11.7147	7.3807	4.43642
YHR167W	25.336	26.307	27.2442	14.3339
YHR172W	2.38843	2.23494	1.86271	1.79287
YER093C	7.43579	6.22714	2.48002	2.81528
YHR174W	49.1755	47.7983	780.352	1404.03
YHR175W	69.1315	75.0392	11.8412	11.433
YJR005C-A	79.8584	77.4054	0.793258	0.0
YPR152C	8.71529	12.9163	8.40402	3.43476
YLR403W	27.612	22.5868	6.97146	6.72246
YBR161W	12.7481	12.6003	9.19751	6.87507
YDR386W	6.98351	6.60411	3.78263	2.76099
YHR175W-A	698.103	528.009	61.9247	86.3634
YPR132W	998.795	1155.67	3956.19	3254.98
YML015C	24.1576	26.9518	16.7294	11.3575
YHR177W	6.23064	6.39656	1.3368	1.13325
YPL009C	11.0514	8.62569	4.3594	5.54597
YHR179W	91.1593	110.772	34.8363	45.3001
YHR183W	16.8038	19.7564	73.1315	85.8328
YHR184W	6.32305	6.55938	1.07365	0.499121
YHR186C	7.78764	6.84058	2.3455	2.76579
YHR187W	27.7288	34.2208	29.4475	11.9561
YDR324C	39.6373	36.9767	43.3921	26.7423
YHR178W	6.4008	5.60337	3.23534	2.37915
YHR188C	11.9063	10.7707	3.99558	5.72652
YJL101C	23.524	19.1806	3.36003	3.57143
