Name	meiotic_1_quant	meiotic_2_quant	veg_cells_1_quant	veg_cells_2_quant
SPOM_SPCC188.13C	0.0	0.0	0.0	0.0
SPOM_SPCC188.14	0.0	0.0	0.0	0.0
SPOM_SPCC188.07	0.0	71.3309	0.0	0.0
SPOM_SPCC188.03	0.0	0.0	0.0	0.0
SPOM_SPCC188.04C	35.3314	134.812	0.0	14.2645
SPOM_SPCC188.02	0.0	0.0	0.0	29.2894
SPOM_SPCC11E10.09C	1229.46	1051.48	0.0	0.0
SPOM_SPCC11E10.08	0.0	0.0	0.0	40.1112
SPOM_SPCC11E10.07C	151.821	0.0	0.0	45.9716
SPOM_SPCC11E10.03	0.0	0.0	0.0	0.0
SPOM_SPCC61.05	27.5016	104.936	0.0	0.0
SPOM_SPCC61.04C	37.7949	0.0	0.0	0.0
SPOM_SPCC61.03	384.33	0.0	0.0	93.1003
SPOM_SPCC622.17	0.0	0.0	0.0	0.0
SPOM_SPCC622.13C	0.0	0.0	0.0	0.0
SPOM_SPCC622.12C	42.1456	0.0	0.0	68.0626
SPOM_SPCC622.11	0.0	0.0	0.0	0.0
SPOM_SPCC622.08C	0.0	0.0	0.0	127.682
SPOM_SPCC622.06C	0.0	0.0	0.0	101.82
SPOM_SPCC622.04	105.935	0.0	0.0	0.0
SPOM_SPCC622.03C	0.0	190.957	0.0	0.0
SPOM_SPCC18.13	0.0	0.0	0.0	57.7424
SPOM_SPCC622.01C	0.0	0.0	0.0	0.0
SPOM_SPCC1281.01	0.0	0.0	0.0	16.8138
SPOM_SPCC338.04	0.0	0.0	0.0	0.0
SPOM_SPCC338.05C	296.016	564.745	0.0	119.512
SPOM_SPCC338.06C	0.0	0.0	0.0	0.0
SPOM_SPCC338.10C	228.327	435.607	594.843	0.0
SPOM_SPCC338.12	103.142	196.777	0.0	62.4631
SPOM_SPCC338.14	45.9841	175.459	0.0	37.1307
SPOM_SPCC338.15	0.0	157.785	0.0	100.172
SPOM_SPCC132.03	97.0656	185.184	0.0	117.566
SPOM_SPCC1322.15	0.0	251.991	0.0	266.632
SPOM_SPCC1322.13	0.0	158.046	0.0	0.0
SPOM_SPCC1322.07C	0.0	0.0	0.0	0.0
SPOM_SPCC1322.05C	830.681	509.475	0.0	11.9795
SPOM_SPCC1322.04	1490.08	1136.88	0.0	120.294
SPOM_SPCC1322.03	0.0	0.0	0.0	5.83623
SPOM_SPCC1322.02	0.0	0.0	0.0	57.3819
SPOM_SPCC1322.01	0.0	42.628	0.0	9.02096
SPOM_SPCC23B6.05C	0.0	0.0	0.0	0.0
SPOM_SPCC23B6.04C	102.411	0.0	0.0	27.5646
SPOM_SPCC965.08C	0.0	0.0	0.0	47.2463
SPOM_SPCC23B6.02C	109.262	0.0	0.0	0.0
SPOM_SPCC23B6.01C	111.006	70.5931	481.991	44.8169
SPOM_SPCC645.11C	0.0	1208.53	0.0	0.0
SPOM_SPCC645.07	0.0	0.0	0.0	28.9483
SPOM_SPCC645.05C	17.4078	33.211	0.0	22.6514
SPOM_SPCC645.04	72.3366	138.005	0.0	81.1031
SPOM_SPCC645.02	167.623	0.0	0.0	0.0
SPOM_SPCC4E9.01C	0.0	41.8439	0.0	0.0
SPOM_SPCC550.15C	48.3641	92.27	0.0	19.5263
SPOM_SPCC550.14	0.0	0.0	0.0	21.7185
