Name	P6_1_quant
NEUTE1DRAFT_92013	44.0039
NEUTE1DRAFT_106014	6.1649
NEUTE1DRAFT_92009	119.71
NEUTE1DRAFT_96979	297.851
NEUTE1DRAFT_96978	18.8688
NEUTE1DRAFT_150459	22.165
NEUTE1DRAFT_119051	12.4848
NEUTE1DRAFT_126452	8.76629
NEUTE1DRAFT_73285	25.3356
NEUTE1DRAFT_96970	181.975
NEUTE1DRAFT_73283	24.4287
NEUTE1DRAFT_119044	108.911
NEUTE1DRAFT_126438	9.68404
NEUTE1DRAFT_105986	0
NEUTE1DRAFT_119039	41.1096
NEUTE1DRAFT_74174	23.5987
NEUTE1DRAFT_133533	17.6892
NEUTE1DRAFT_119035	70.7961
NEUTE1DRAFT_91925	110.273
NEUTE1DRAFT_105967	138.606
NEUTE1DRAFT_133521	23.7697
NEUTE1DRAFT_142847	2.61285
NEUTE1DRAFT_105963	33.3373
NEUTE1DRAFT_142844	3.08008
NEUTE1DRAFT_106405	6.09237
NEUTE1DRAFT_119032	92.3095
NEUTE1DRAFT_91897	1.95961
NEUTE1DRAFT_133512	63.0581
NEUTE1DRAFT_27438	0.663806
NEUTE1DRAFT_114872	0.75923
NEUTE1DRAFT_119026	300.887
NEUTE1DRAFT_73170	49.837
NEUTE1DRAFT_73167	10.8126
NEUTE1DRAFT_91862	154.218
NEUTE1DRAFT_52571	0
NEUTE1DRAFT_91859	10.0044
NEUTE1DRAFT_133500	14.4682
NEUTE1DRAFT_126392	28.9422
NEUTE1DRAFT_142815	12.1621
NEUTE1DRAFT_150394	107.427
NEUTE1DRAFT_91826	25.4638
NEUTE1DRAFT_91823	113.757
NEUTE1DRAFT_150391	30.7287
NEUTE1DRAFT_91817	14.2349
NEUTE1DRAFT_91811	32.5135
NEUTE1DRAFT_74759	123.979
NEUTE1DRAFT_126368	56.1398
NEUTE1DRAFT_119014	1.10789
NEUTE1DRAFT_73106	81.0936
NEUTE1DRAFT_52978	0
NEUTE1DRAFT_91800	23.5183
NEUTE1DRAFT_119009	566.804
NEUTE1DRAFT_119008	359.756
NEUTE1DRAFT_91783	78.0057
NEUTE1DRAFT_119007	1.06637
NEUTE1DRAFT_105893	0.5163
NEUTE1DRAFT_73080	34.2922
NEUTE1DRAFT_73077	23.7653
NEUTE1DRAFT_150366	8.40228
NEUTE1DRAFT_91762	83.9257
NEUTE1DRAFT_126349	26.0144
NEUTE1DRAFT_150363	25.0668
NEUTE1DRAFT_133455	7.12472
NEUTE1DRAFT_126343	163.352
NEUTE1DRAFT_150357	56.0292
NEUTE1DRAFT_73037	117.715
NEUTE1DRAFT_114802	6.96288
NEUTE1DRAFT_91726	6.01005
NEUTE1DRAFT_142759	71.2783
NEUTE1DRAFT_91712	11.5772
NEUTE1DRAFT_96916	49.7997
NEUTE1DRAFT_118993	508.528
NEUTE1DRAFT_126328	10.0225
NEUTE1DRAFT_118989	4.83709
NEUTE1DRAFT_72988	5.05612
NEUTE1DRAFT_92406	35.9415
NEUTE1DRAFT_91684	15.3976
NEUTE1DRAFT_118984	28.5979
NEUTE1DRAFT_126317	64.5507
NEUTE1DRAFT_105848	0
NEUTE1DRAFT_118979	7.66521
NEUTE1DRAFT_91659	93.6662
NEUTE1DRAFT_72957	41.4911
NEUTE1DRAFT_72951	63.0229
NEUTE1DRAFT_126302	46.7384
NEUTE1DRAFT_72933	87.8447
NEUTE1DRAFT_118969	181.788
NEUTE1DRAFT_150930	21.0777
NEUTE1DRAFT_72918	26.8451
NEUTE1DRAFT_133408	73.6848
NEUTE1DRAFT_91606	25.4223
NEUTE1DRAFT_126540	305.033
NEUTE1DRAFT_51714	86.9002
NEUTE1DRAFT_118965	1157.74
NEUTE1DRAFT_126285	85.4609
NEUTE1DRAFT_118962	188.26
NEUTE1DRAFT_91585	31.305
NEUTE1DRAFT_91582	88.2139
NEUTE1DRAFT_96883	45.7923
NEUTE1DRAFT_55525	18.1191
NEUTE1DRAFT_114744	0
NEUTE1DRAFT_53402	0
NEUTE1DRAFT_53438	0
NEUTE1DRAFT_54148	0
NEUTE1DRAFT_142693	0
NEUTE1DRAFT_53554	0
NEUTE1DRAFT_52444	0
NEUTE1DRAFT_150299	22.7116
NEUTE1DRAFT_54812	176.522
NEUTE1DRAFT_72862	42.29
NEUTE1DRAFT_96875	174.311
NEUTE1DRAFT_126266	36.3856
NEUTE1DRAFT_91546	18.5124
NEUTE1DRAFT_118950	125.837
NEUTE1DRAFT_91539	33.0408
NEUTE1DRAFT_118947	87.9303
NEUTE1DRAFT_150284	14.6716
NEUTE1DRAFT_133382	1.2746
NEUTE1DRAFT_114725	14.5831
NEUTE1DRAFT_118944	1.6896
NEUTE1DRAFT_118942	11.6199
